Title	Genre
A Mighty Heart (2007)	'Biography', 'Drama'
Rock the Kasbah (2015)	'Comedy'
Ghayal Once Again (2016)	'Action'
Einstein (2015)	'Crime', 'Drama'
Ghost in the Shell 2: Innocence (2004)	'Animation', 'Drama', 'Sci-Fi'
The Boys & Girls Guide to Getting Down (2006)	'Comedy'
Rodinny film (2015)	'Drama'
Kaun? (1999)	'Mystery', 'Thriller'
The Freebie (2010)	'Comedy', 'Drama'
Promise Her Anything (1999)	'Comedy', 'Drama', 'Fantasy'
Volver (2006)	'Comedy', 'Crime', 'Drama'
Zindagi Na Milegi Dobara (2011)	'Adventure', 'Comedy', 'Drama'
Step Brothers (2008)	'Comedy'
Nanny McPhee Returns (2010)	'Comedy', 'Family', 'Fantasy'
Agneepath (2012)	'Action', 'Crime', 'Drama'
CanÌ_bal (2013)	'Thriller'
ÌÉret gjennom BÌürfjord (1991)	'Documentary'
Somewhere in the City (1998)	'Drama', 'Comedy'
VeggieTales: Dave and the Giant Pickle (1996)	'Animation', 'Comedy'
Vavien (2009)	'Comedy', 'Drama', 'Thriller'
The Boy in the Striped Pajamas (2008)	'Drama'
Connie and Carla (2004)	'Comedy', 'Crime'
Waitress (2007)	'Comedy', 'Drama', 'Romance'
Bulg-eun gajog (2013)	'Drama'
Hate Crime (2005)	'Crime', 'Drama', 'Mystery'
The Gift (2000)	'Drama', 'Fantasy', 'Horror'
Fung wan II (2009)	'Action', 'Adventure', 'Fantasy'
Tormented (2014)	'Horror', 'Thriller'
Bronson (2008)	'Action', 'Biography', 'Crime'
Lights Out (2010)	'Drama', 'Mystery', 'Thriller'
The Kid & I (2005)	'Comedy'
5 Flights Up (2014)	'Drama'
Am zin 2 (2001)	'Crime', 'Action'
The Possession of David O'Reilly (2010)	'Horror'
Meth (2006)	'Documentary'
La stanza del figlio (2001)	'Drama'
The Details (2011)	'Comedy', 'Drama'
The Winslow Boy (1999)	'Drama', 'Romance'
Day of the Falcon (2011)	'Adventure', 'Drama'
From the Sky Down (2011)	'Documentary'
Inspector Gadget (1999)	'Action', 'Adventure', 'Comedy'
The Exorcism of Emily Rose (2005)	'Drama', 'Horror', 'Thriller'
The Manzanar Fishing Club (2012)	'Documentary', 'Adventure'
Moonbase (1997)	'Action', 'Sci-Fi'
The Ramen Girl (2008)	'Comedy', 'Drama', 'Romance'
Dog Pound (2010)	'Drama'
Mike Birbiglia: What I Should Have Said Was Nothing (2008)	'Comedy'
Cztery noce z Anna (2008)	'Crime', 'Drama', 'Thriller'
Hours (2013)	'Drama', 'Thriller'
The Aggression Scale (2012)	'Action', 'Crime', 'Thriller'
El Medico: The Cubaton Story (2011)	'Documentary', 'Drama', 'Family'
Recep Ivedik 4 (2014)	'Comedy'
Iklimler (2006)	'Drama'
Ice Age: Collision Course (2016)	'Animation', 'Adventure', 'Comedy'
Alive Inside (2014)	'Documentary'
The Life of Reilly (2006)	'Documentary', 'Biography', 'Comedy'
Valkyrie (2008)	'Drama', 'Thriller'
La Ciudad (The City) (1998)	'Drama'
Daylight (1996)	'Action', 'Adventure', 'Drama'
Sister Act (1992)	'Comedy', 'Crime', 'Family'
Leviathan (2014)	'Drama'
The Butterfly Room (2012)	'Horror', 'Thriller'
Miss Farkku-Suomi (2012)	'Comedy', 'Drama'
Dyke Hard (2014)	'Action', 'Comedy', 'Horror'
Atlas Shrugged II: The Strike (2012)	'Drama', 'Mystery', 'Sci-Fi'
Iron Sky (2012)	'Action', 'Comedy', 'Sci-Fi'
Land and Freedom (1995)	'Drama'
Ghanchakkar (2013)	'Comedy', 'Crime', 'Thriller'
Hell (2011)	'Horror', 'Sci-Fi', 'Thriller'
The Unknown Soldier (2006)	'Documentary'
The Fake (2013)	'Animation', 'Drama', 'Thriller'
Heaven and Earth (1990)	'Action', 'Adventure', 'Drama'
The Legend of Sarila (2013)	'Animation', 'Adventure', 'Family'
The Survivalist (2015)	'Drama', 'Sci-Fi', 'Thriller'
Una donna per la vita (2012)	'Comedy'
Archie's Final Project (2009)	'Comedy', 'Drama'
Trumbo (2007)	'Documentary', 'Biography'
American Soldiers (2005)	'Action', 'Drama'
Patterns of Evidence: Exodus (2014)	'Documentary'
Pootie Tang (2001)	'Comedy', 'Adventure'
Possession (2002)	'Drama', 'Mystery', 'Romance'
Vision - Aus dem Leben der Hildegard von Bingen (2009)	'Biography', 'Drama', 'Romance'
My Big Fat Greek Wedding 2 (2016)	'Comedy', 'Family', 'Romance'
Jesse Stone: Stone Cold (2005)	'Crime', 'Drama', 'Mystery'
Stinsen brinner... filmen alltsí« (1991)	'Comedy'
Comedy Central Roast of Bob Saget (2008)	'Comedy'
The Gamers: Hands of Fate (2013)	'Adventure', 'Comedy', 'Fantasy'
It's Alive (2008)	'Horror', 'Sci-Fi'
Lake of Fire (2006)	'Documentary'
PionÌ©r (2013)	'Thriller'
He ni zai yi qi (2002)	'Drama'
La confiance rÌ¬gne (2004)	'Comedy'
Karan Arjun (1995)	'Action', 'Comedy', 'Fantasy'
The Bucks County Massacre (2010)	'Action', 'Horror', 'Thriller'
Pa-gwi-dwin sa-na-i (2010)	'Thriller'
Bushi no ichibun (2006)	'Drama', 'Romance'
Troublemakers: The Story of Land Art (2015)	'Documentary', 'Biography'
The Boys of Baraka (2005)	'Documentary'
Still Bill (2009)	'Documentary', 'Biography'
Beast Stalker (2008)	'Action', 'Thriller'
Yutham Sei (2011)	'Crime', 'Drama', 'Mystery'
Goosebumps (2015)	'Adventure', 'Comedy', 'Family'
Besat (1999)	'Action', 'Crime', 'Horror'
Taikon (2015)	'Documentary'
Trespass (1992)	'Action', 'Thriller'
Countdown to Zero (2010)	'Documentary'
Rush (2013)	'Action', 'Biography', 'Drama'
